source,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44
S00,0.09825049340724945,-0.08698438853025436,-0.18311648070812225,0.013468625023961067,-0.02450321428477764,-0.02433845028281212,-0.012460747733712196,-0.15561217069625854,-0.04272400960326195,-0.08575364947319031,-0.03660896420478821,-0.017266998067498207,0.026090547442436218,0.031234843656420708,-0.07764989137649536,-0.3934152126312256,-0.03633838891983032,0.013849787414073944,-0.08958465605974197,-0.2567943036556244,-0.15272435545921326,-0.11953037232160568,-0.2534480690956116,0.007403080351650715,-0.11418590694665909,-0.07633738219738007,-0.005786955822259188,0.012729808688163757,-0.1273077428340912,-0.007889810018241405,0.0031891008839011192,-0.024663658812642097,0.07478252053260803,-0.08779434859752655,0.00922123808413744,-0.015311121940612793,0.011437921784818172,-0.07759303599596024,0.022823095321655273,-0.02102738246321678,-0.06641054898500443,-0.02062476985156536,0.010282945819199085,0.016094081103801727,-0.012489096261560917
S01,0.004537354689091444,0.03951144590973854,0.013764233328402042,0.01301687490195036,0.02183385193347931,-0.030031751841306686,0.007340703159570694,0.009706765413284302,-0.027246922254562378,0.004339925944805145,0.005107000470161438,-0.0019732301589101553,0.007698491681367159,-0.02417980507016182,0.01501305028796196,-0.03552515059709549,0.009501190856099129,-0.08842900395393372,-0.07375826686620712,-0.013220496475696564,-0.028218122199177742,-0.020399361848831177,0.02107446826994419,-0.03932061046361923,-0.004208737518638372,-0.0176225658506155,0.0018753422191366553,-0.016016345471143723,-0.007043372839689255,0.025581201538443565,0.03696524724364281,-0.002323371358215809,-0.019734220579266548,-0.0014229605440050364,0.010456192307174206,-0.024076247587800026,0.016206106171011925,0.003189423820003867,0.017265627160668373,0.024851638823747635,-0.06560570746660233,0.029602885246276855,-0.01209130696952343,-0.0019031066913157701,0.00495939701795578
S02,-0.005336155649274588,-0.010075241327285767,-0.024437734857201576,0.02817152626812458,-0.009753463789820671,-0.03221733123064041,-0.008337613195180893,-0.008068172261118889,-0.0028470351826399565,-0.02105622924864292,-0.021946003660559654,0.0017120058182626963,-0.006293530575931072,-0.028867555782198906,-0.022647155448794365,-0.03491922467947006,0.021581493318080902,-0.012292173691093922,0.05226100981235504,-0.01746092550456524,0.06870581954717636,0.03716558590531349,0.06382648646831512,0.054409511387348175,-0.014116593636572361,-0.044220663607120514,0.02132338471710682,0.0015248432755470276,-0.08809587359428406,0.016479719430208206,0.028917815536260605,-0.019748404622077942,-0.019754530861973763,-0.0047728619538247585,-0.0006388146430253983,-0.0233162809163332,0.016404464840888977,-0.06286752223968506,-0.022023987025022507,0.003914905712008476,-0.049863193184137344,-0.0006748304585926235,0.04952021315693855,0.010135901160538197,-0.01013917475938797
S03,-0.1842007339000702,-0.02158619649708271,-0.03999612480401993,0.0030577555298805237,0.023552514612674713,-0.04576875641942024,-0.008022350259125233,0.018459919840097427,-0.0017822403460741043,-0.08158928900957108,0.019518010318279266,-0.010637495666742325,-0.04458443075418472,-0.07632450759410858,-0.010505814105272293,-0.03724657744169235,0.01388812530785799,-0.012403990142047405,0.005838316865265369,-0.014751119539141655,-0.018144896253943443,-0.029874878004193306,0.04427409544587135,-0.008131519891321659,0.012854306027293205,-0.0099335927516222,-0.002704859944060445,0.000858520099427551,0.01747388392686844,-0.008239781484007835,0.026136772707104683,-0.018533404916524887,-0.04205390438437462,-0.011845875531435013,0.007969730533659458,-0.02626842074096203,0.017247231677174568,-0.0073325131088495255,0.011268289759755135,-0.004541564732789993,-0.05938592925667763,0.028752850368618965,0.04658154770731926,-0.110574871301651,0.027880679816007614
S04,0.0018848684849217534,0.00797826237976551,-0.0052748192101716995,-0.0021094572730362415,0.009948496706783772,-0.014445751905441284,0.00247972016222775,-0.020283857360482216,0.019833259284496307,-0.02517874911427498,0.0028265579603612423,-0.007377512287348509,-0.02160196751356125,-0.02129054069519043,-0.017255252227187157,0.007860995829105377,-0.010600954294204712,-0.047360170632600784,-0.03135734796524048,-0.013641790486872196,0.007077221293002367,0.0026367518585175276,-0.01471487246453762,0.019528614357113838,-0.028667446225881577,-0.0008613683748990297,9.898344433167949e-05,-0.0028718067333102226,-0.02060059830546379,-0.042296431958675385,0.013101336546242237,-0.002414708724245429,-0.036191169172525406,-0.006933130323886871,0.017906969413161278,-0.024454820901155472,0.013968097046017647,-0.00459814490750432,0.0093240300193429,0.011876425705850124,0.0047878422774374485,0.010873725637793541,-0.008520659990608692,-0.0031776383984833956,-0.006792084313929081
S05,-0.027775906026363373,0.03561370074748993,0.003300323151051998,-0.0294449795037508,-0.02521287277340889,-0.010503900237381458,0.01156714279204607,0.023717354983091354,-0.02536844089627266,-0.03247910365462303,-0.019865205511450768,0.023370977491140366,-0.00540254358202219,-0.06676039099693298,-0.0007179863168857992,-0.14239560067653656,-0.03273620456457138,-0.006691113114356995,-0.02684328705072403,-0.01844029501080513,-0.003303470555692911,0.016860203817486763,0.004833383485674858,-0.0450306199491024,-0.027283664792776108,-0.02445114776492119,0.0274070892482996,0.03369958698749542,0.04748047515749931,-0.020738694816827774,0.07160200923681259,-0.011723683215677738,-0.00727770896628499,-0.009810970164835453,0.015103134326636791,0.024232804775238037,0.034410253167152405,0.010526355355978012,-0.06920073181390762,0.009493710473179817,-0.0002942495048046112,-0.00030346473795361817,-0.011866884306073189,-0.0071020182222127914,-0.005549514666199684
S06,-0.031282518059015274,-0.0023604140151292086,-0.00771982641890645,-0.037207722663879395,0.01143529824912548,-0.012494094669818878,-0.0005491279880516231,-0.012862983159720898,-0.02565566636621952,-0.02517041750252247,-0.018826445564627647,0.008587821386754513,0.012781495228409767,0.03483092039823532,-0.010138214565813541,0.013641294091939926,-0.019307762384414673,-0.0013417592272162437,-0.03596625477075577,-0.0635807067155838,0.015409457497298717,-0.002920362865552306,-0.020552214235067368,0.08494787663221359,-1.6941711902618408,-0.20421276986598969,0.022030124440789223,0.015264393761754036,-0.013673387467861176,0.014934231527149677,0.01986376754939556,-0.003788735019043088,-0.05245470628142357,-0.007036537863314152,0.014634363353252411,-0.021008329465985298,0.003768461523577571,-0.04305339604616165,-0.09427440166473389,0.011343642137944698,-0.031216656789183617,0.01233898475766182,0.009935029782354832,-0.003923983778804541,0.013749859295785427
S07,0.02004564180970192,0.004891994409263134,-0.0011938074603676796,-0.01095985621213913,-0.003861170494928956,-0.008772742934525013,0.002263288712128997,0.005918330047279596,0.010157416574656963,-0.01329211238771677,-0.001195800374262035,-0.00472465343773365,-0.017154673114418983,-0.010190642438828945,-0.013085070997476578,-0.014033220708370209,-0.030907128006219864,-0.00036684636143036187,0.0064916242845356464,-0.018584420904517174,-0.00421644514426589,-0.0009520270396023989,0.11418696492910385,0.12136548012495041,-2.6591856479644775,-0.14102581143379211,0.02706844173371792,-0.013126998208463192,0.09764928370714188,-1.4399386644363403,-0.004982219077646732,-0.01900230348110199,-0.1395610272884369,-0.020416539162397385,-0.0029061760287731886,0.004863097798079252,-0.010697154328227043,-0.4479920566082001,-0.017618028447031975,0.011817076243460178,-0.0549076683819294,0.026113441213965416,0.015141960233449936,-0.023401349782943726,-0.009020727127790451
S08,-0.02805180661380291,-0.004810167942196131,0.003304961370304227,0.005732137709856033,0.005681750364601612,-0.015750132501125336,-0.0009157547610811889,-0.005271321628242731,0.005693753249943256,-0.009041397832334042,-0.006299834698438644,0.00820633303374052,0.05107662081718445,-0.03887929767370224,-0.010842949151992798,-0.0030509168282151222,-0.017275402322411537,-0.0050560301169753075,-0.010461917147040367,-0.0533408485352993,-0.015359414741396904,0.023634975776076317,0.030590655282139778,-0.016700664535164833,0.03783183544874191,-0.025734608992934227,0.012043092399835587,-0.008244702592492104,-0.029854491353034973,-0.030091825872659683,0.012736325152218342,-0.0007495249155908823,-0.04048224538564682,-0.0073674460873007774,0.0047609698958694935,0.012573812156915665,0.016813404858112335,-0.027560345828533173,-0.003423623740673065,0.008952389471232891,-0.03548588976264,0.033207688480615616,0.0024304166436195374,0.009186123497784138,-0.00688882265239954
S09,-0.013208565302193165,0.01363111287355423,0.02646384760737419,0.015679078176617622,-0.014931179583072662,-0.020133275538682938,0.006592169404029846,0.018907509744167328,-0.019332222640514374,-0.0110545689240098,0.000814786646515131,0.0040670642629265785,0.011372503824532032,-0.0709192231297493,0.004721486940979958,-0.01580159179866314,-0.052175961434841156,-0.011112225241959095,0.11810613423585892,-0.009753340855240822,-0.055382806807756424,0.02423693984746933,0.0734507367014885,-0.013930252753198147,-0.0033996885176748037,-0.03975527361035347,-0.017471352592110634,-0.02897782064974308,0.04625384509563446,-0.05155438184738159,-0.03688888996839523,0.008243526332080364,-0.06532935053110123,-0.004590901080518961,0.036425281316041946,-0.030786724761128426,0.004944793879985809,-0.0009358571260236204,0.05980308726429939,-0.002595811150968075,-0.012662693858146667,0.008135627023875713,-0.00967034138739109,0.001332852989435196,0.012920490466058254
