source,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44
S00,0.028523234650492668,-0.10215344280004501,-0.15445663034915924,0.004409186076372862,-0.027191663160920143,-0.014646164141595364,-0.01888476312160492,-0.20467732846736908,-0.06535439193248749,-0.07095696032047272,-0.03309916704893112,-0.02189195156097412,0.02451111376285553,-0.01626097969710827,-0.09059081226587296,-0.4227646291255951,-0.01726008765399456,0.0806637555360794,-0.14186374843120575,-0.11695073544979095,-0.15919525921344757,-0.13224460184574127,-0.26200518012046814,-0.08097302168607712,-0.06011498346924782,-0.08676904439926147,-0.0173626858741045,0.014236655086278915,-0.15772078931331635,-0.005357260350137949,-0.018708763644099236,-0.032948557287454605,0.0975993201136589,-0.09140975028276443,0.001028787693940103,-0.016032282263040543,0.011743303388357162,-0.07946992665529251,0.008946877904236317,-0.02204957976937294,-0.06178358942270279,-0.01171484962105751,0.008193510584533215,0.024852193892002106,-0.013102056458592415
S01,0.0014064491260796785,0.047254953533411026,0.016902493312954903,0.015519236214458942,0.02380586788058281,-0.02869187481701374,0.008359543979167938,0.002734225708991289,-0.037330497056245804,0.006897897459566593,0.005779246799647808,0.004246478900313377,0.00706971250474453,-0.014975679107010365,0.016691841185092926,-0.038846805691719055,0.013385709375143051,-0.1141958236694336,-0.07108330726623535,0.0047189295291900635,-0.02314414270222187,-0.021064603701233864,0.006113071460276842,-0.06443294137716293,-0.01354446541517973,-0.016422513872385025,-0.00045861254329793155,-0.019295573234558105,-0.009211905300617218,0.029851913452148438,0.05009351670742035,-0.0014505614526569843,-0.028168614953756332,0.00047787310904823244,0.014670458622276783,-0.024866238236427307,0.022319920361042023,0.007282130420207977,0.021065494045615196,0.020041877403855324,-0.07013341784477234,0.03699235990643501,-0.018269527703523636,0.005785730201750994,0.002646877197548747
S02,-0.009283081628382206,-0.011385689489543438,-0.02837991714477539,0.023004675284028053,-0.011268910951912403,-0.029224488884210587,-0.00619184784591198,-0.03635759651660919,0.004827097058296204,-0.016893750056624413,-0.01584969460964203,0.012139623984694481,-0.004558609798550606,-0.10414700955152512,-0.02644776552915573,-0.03699164092540741,0.022402077913284302,0.0024993079714477062,0.05297214537858963,-0.009910337626934052,0.0857384204864502,0.042652428150177,0.05923406034708023,0.045155178755521774,-0.02462928369641304,-0.04220087081193924,0.024487953633069992,0.0020318683236837387,-0.1312216967344284,0.021109219640493393,0.015316004864871502,-0.0281350277364254,-0.017325203865766525,-0.0039060618728399277,-0.006721468176692724,-0.018135759979486465,0.01873410865664482,-0.07884480059146881,-0.036772217601537704,-0.002073604380711913,-0.06010866165161133,0.006432481575757265,0.05585610494017601,0.016315964981913567,-0.010981803759932518
S03,-0.21644893288612366,-0.03109363466501236,-0.039105601608753204,0.007907274179160595,0.02708718739449978,-0.040441788733005524,-0.0013284300221130252,-0.008559033274650574,0.003297909162938595,-0.13762623071670532,-0.005382869858294725,-0.012616044841706753,-0.04997100308537483,-0.08299482613801956,-0.004060806706547737,-0.04484622925519943,0.023557962849736214,-0.037678755819797516,-0.002858011284843087,-0.017563527449965477,-0.008982136845588684,-0.03175266087055206,0.027795353904366493,9.184926602756605e-05,-0.004181236494332552,-0.008413477800786495,-0.005416937172412872,0.0016581974923610687,0.039959583431482315,-0.005224123597145081,0.022159704938530922,-0.020374085754156113,-0.047273099422454834,-0.009289509616792202,0.007255071308463812,-0.028888175264000893,0.01900416426360607,0.0018221113132312894,0.015601466409862041,-0.0049453675746917725,-0.07082293182611465,0.03546062856912613,0.04418908804655075,-0.12289918959140778,0.01718570478260517
S04,0.013551055453717709,0.008858438581228256,-0.013649736531078815,0.02148272842168808,0.010671623982489109,-0.00978836789727211,0.0016173411859199405,-0.034267015755176544,0.04349018260836601,-0.0274379700422287,-0.0005350600695237517,-0.005503389518707991,-0.023619553074240685,-0.04096653684973717,-0.025240372866392136,0.004437251016497612,-0.006569739896804094,-0.058267395943403244,-0.040534455329179764,-0.015613159164786339,0.02209319733083248,0.0025070575065910816,-0.016709929332137108,0.035705264657735825,-0.04297992214560509,0.0007388770463876426,-0.005284939892590046,-0.002407755935564637,-0.021007919684052467,-0.04396995157003403,0.0048005543649196625,-0.0023817915935069323,-0.04938555881381035,-0.006918055471032858,0.023653650656342506,-0.02851388417184353,0.014933302998542786,-0.005072011612355709,0.008532688021659851,0.012976306490600109,-0.0015907555352896452,0.021092362701892853,-0.010756975039839745,0.0079316645860672,-0.0077189006842672825
S05,0.002075886121019721,0.03651610389351845,-0.011241563595831394,0.0258948877453804,-0.02835330180823803,-0.011830934323370457,0.010884708724915981,0.012378452345728874,-0.03492460772395134,-0.03588147088885307,-0.009131107479333878,0.03366098180413246,-0.007428423967212439,-0.06431916356086731,0.0034382629673928022,-0.1555100828409195,-0.004451509099453688,-0.08149334043264389,-0.012783191166818142,-0.014117476530373096,0.012841803021728992,0.0160563662648201,0.022189153358340263,-0.04295044392347336,-0.022055387496948242,-0.03510349616408348,0.02736145816743374,0.03794592618942261,0.05033652111887932,-0.020825399085879326,0.06382688134908676,-0.013592354021966457,-0.007035540882498026,-0.004942137282341719,0.013936417177319527,0.029239797964692116,0.040003057569265366,0.021457668393850327,-0.0822078213095665,0.010343757458031178,-0.009867670945823193,-0.00196054601110518,-0.012950649484992027,-0.00045939802657812834,-0.006392893847078085
S06,0.009157487191259861,-0.0026687425561249256,-0.00768236443400383,-0.00772259384393692,0.012322740629315376,-0.004994444083422422,-0.0009008952765725553,-0.015592947602272034,-0.03761773183941841,-0.024853665381669998,-0.016924478113651276,0.01349598728120327,0.007547647692263126,0.008934901095926762,-0.011385931633412838,0.012983131222426891,-0.0010600638343021274,0.002284374786540866,-0.04361648112535477,-0.056541718542575836,0.02378859929740429,0.005626089870929718,-0.01483942475169897,0.16073663532733917,-1.9337960481643677,-0.23890745639801025,0.026330817490816116,0.016514021903276443,-0.045962389558553696,0.028169473633170128,-0.0008097030222415924,-0.011032807640731335,-0.07093494385480881,-0.0018366320291534066,0.02443557046353817,-0.020802434533834457,0.009274358861148357,-0.027129901573061943,-0.12512679398059845,0.012130623683333397,-0.02740607224404812,0.01872839964926243,0.008548619225621223,0.0017588065238669515,0.014524881727993488
S07,0.011412135325372219,0.004533377476036549,0.005842127837240696,0.010654478333890438,-0.004379881080240011,0.0005356339970603585,0.0026110121980309486,-0.005362194497138262,0.023815065622329712,-0.015742311254143715,-0.0013857587473466992,0.0023260684683918953,-0.03006933443248272,-0.010465783067047596,-0.016192488372325897,-0.015890028327703476,-0.01747407205402851,-0.002162463963031769,0.005401394329965115,-0.020584672689437866,0.006555821280926466,-0.004083484411239624,0.06566426903009415,0.11910450458526611,-3.0059893131256104,-0.15391404926776886,0.029258858412504196,-0.016336455941200256,0.11044081300497055,-1.5777796506881714,-0.008527655154466629,-0.02316858060657978,-0.1544308364391327,-0.012799073942005634,-0.00926659069955349,0.004718638025224209,-0.0078111207112669945,-0.512915849685669,-0.05542125180363655,0.006454009097069502,-0.0656171664595604,0.03916621208190918,0.008722346276044846,-0.022712094709277153,-0.016775717958807945
S08,0.0017666053026914597,-0.005246610380709171,-9.992665582103655e-05,0.01594095677137375,0.006323113106191158,-0.008697747252881527,0.0005048732273280621,-0.011203493922948837,0.01274096965789795,-0.009968998841941357,-0.00352989649400115,0.015420899726450443,0.05031316727399826,-0.06348224729299545,-0.011182857677340508,-0.003634591354057193,-0.005823812913149595,-0.00291896378621459,-0.018765399232506752,-0.05918636918067932,-0.004641679581254721,0.027746841311454773,0.013364436104893684,-0.04906156659126282,0.05445931479334831,-0.01784861646592617,0.013630899600684643,-0.009499267674982548,-0.03985902667045593,-0.02680957317352295,-0.00015195226296782494,-0.0039850990287959576,-0.0482243075966835,-0.0061274743638932705,0.003188359783962369,0.012002617120742798,0.019761037081480026,-0.02118009515106678,-0.01068726647645235,0.009596865624189377,-0.05168480798602104,0.04359782487154007,-0.0019842996262013912,0.014706505462527275,-0.005074621178209782
S09,0.015006300061941147,0.013686085119843483,0.010698583908379078,0.027936479076743126,-0.016844049096107483,-0.008534223772585392,0.010852769948542118,-0.0030563538894057274,-0.030747056007385254,-0.02095474675297737,-0.00269902846775949,0.004258372355252504,0.004292787052690983,-0.027799157425761223,0.010954364202916622,-0.020820748060941696,-0.0640198141336441,-0.03719125688076019,0.15114815533161163,-0.0009444826282560825,-0.03541417047381401,0.023569561541080475,0.04645086079835892,-0.09220787137746811,0.018811281770467758,-0.03765944391489029,-0.019944069907069206,-0.03138791769742966,0.05896194279193878,-0.05359245836734772,-0.03746611252427101,0.009384473785758018,-0.07587757706642151,-0.0007151954923756421,0.026827478781342506,-0.034638576209545135,0.007554840296506882,0.0019312016665935516,0.06644802540540695,-0.002876972546800971,-0.015539067797362804,0.007915053516626358,-0.018296966329216957,0.009273669682443142,0.008358309976756573
