source,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44
S00,0.004185665864497423,0.02033318020403385,0.1284611076116562,0.006608040537685156,0.003428208641707897,0.017952600494027138,0.020910225808620453,0.035758182406425476,0.008803276345133781,0.03179477900266647,0.015583614818751812,0.008476301096379757,0.020600318908691406,0.025173574686050415,0.016935301944613457,0.4281599521636963,0.055535051971673965,0.0868348777294159,0.11170040816068649,0.17843495309352875,0.08994241058826447,0.07491378486156464,0.05121616646647453,0.029316691681742668,0.05918801203370094,0.030205709859728813,0.01193841453641653,0.04030474275350571,0.028046000748872757,0.01735059544444084,0.01620720513164997,0.006891090888530016,0.01769206114113331,0.05511058121919632,0.010206473991274834,0.0400610975921154,0.01874876394867897,0.02761349081993103,0.009419773705303669,0.005709889344871044,0.011847693473100662,0.005215339362621307,0.005552432965487242,0.004758819937705994,0.004460962023586035
S01,0.00097759033087641,0.01898849755525589,0.0072310687974095345,0.002158517949283123,0.0018496722914278507,0.002098279306665063,0.0016783796017989516,0.0010763993486762047,0.003575951559469104,0.0018725942354649305,0.0012427516048774123,0.0016720833955332637,0.007185778580605984,0.004316572565585375,0.001331879640929401,0.011913834139704704,0.010229541920125484,0.03883909434080124,0.01387770101428032,0.005188760347664356,0.006745924707502127,0.0035856745671480894,0.003968320786952972,0.00416810205206275,0.008739421144127846,0.0030829107854515314,0.0016970803262665868,0.001324112992733717,0.006575542502105236,0.009993901476264,0.012881075032055378,0.0013419999741017818,0.0028745790477842093,0.002094634808599949,0.0026409111451357603,0.0034841655287891626,0.008032714948058128,0.005454895552247763,0.006593193858861923,0.0010917797917500138,0.003800514852628112,0.0009660162031650543,0.0011571630602702498,0.003983967937529087,0.0013215645449236035
S02,0.0049682739190757275,0.0038242756854742765,0.005381731782108545,0.005087621044367552,0.0026902270037680864,0.00693150982260704,0.004575427155941725,0.0116574103012681,0.0015392272034659982,0.009771970100700855,0.004181378986686468,0.00408831937238574,0.007877993397414684,0.00754670612514019,0.006546965334564447,0.01235040370374918,0.018332866951823235,0.012222389690577984,0.021030521020293236,0.012619593180716038,0.021619543433189392,0.029048096388578415,0.007834559306502342,0.009414092637598515,0.010522572323679924,0.008235137909650803,0.004276206251233816,0.0018544321646913886,0.013371162116527557,0.007842520251870155,0.0036793595645576715,0.004280907101929188,0.006413987372070551,0.004441994242370129,0.00787949189543724,0.0041866903193295,0.00416798610240221,0.015135637484490871,0.004921401385217905,0.002768373815342784,0.006144545506685972,0.003031432395800948,0.004791966173797846,0.006015022285282612,0.0032748174853622913
S03,0.06080866977572441,0.011295017786324024,0.018810831010341644,0.0056939381174743176,0.0034297865349799395,0.00499819265678525,0.004911791533231735,0.010670922696590424,0.00226218462921679,0.12151846289634705,0.014493964612483978,0.003154897131025791,0.007950364612042904,0.005513929296284914,0.003244229592382908,0.008798977360129356,0.008483939804136753,0.013541139662265778,0.006877204868942499,0.0058406018652021885,0.005485825706273317,0.004240469075739384,0.004941048100590706,0.005818293895572424,0.013060459867119789,0.0035331875551491976,0.0016849073581397533,0.0021242662332952023,0.003176918951794505,0.003725807648152113,0.002254723571240902,0.002856532111763954,0.006212955806404352,0.002937234938144684,0.0015333592891693115,0.0077848588116467,0.0022216541692614555,0.003117491491138935,0.003561644349247217,0.002173312474042177,0.005002459976822138,0.001303066615946591,0.0030914880335330963,0.05658876895904541,0.0039666760712862015
S04,0.0004940077778883278,0.001174736418761313,0.0034110676497220993,0.002524616662412882,0.0007526713889092207,0.002275625942274928,0.0008889682940207422,0.0019769412465393543,0.0027258791960775852,0.0018720354419201612,0.001111642923206091,0.0014118627877905965,0.006323787849396467,0.0017080709803849459,0.0016081981593742967,0.0047958968207240105,0.0031056751031428576,0.006872724276036024,0.004160634707659483,0.003726768773049116,0.0027671572752296925,0.001551391906104982,0.0028975210152566433,0.0067159151658415794,0.004534585867077112,0.003119231201708317,0.0014609936624765396,0.0015187173848971725,0.007747295778244734,0.013977611437439919,0.0027934557292610407,0.001243489794433117,0.0027158395387232304,0.001832220470532775,0.002445713384076953,0.001460883766412735,0.002009937772527337,0.004074677359312773,0.0019172963220626116,0.0007232052157633007,0.001956881722435355,0.0013083983212709427,0.0007944409735500813,0.0017426129197701812,0.0012683661188930273
S05,0.0020625314209610224,0.009715534746646881,0.013899004086852074,0.008180718868970871,0.0027241550851613283,0.0020239907316863537,0.0020120572298765182,0.001960251247510314,0.003961474634706974,0.0029651822987943888,0.001980998320505023,0.005175861995667219,0.007012261543422937,0.00342924939468503,0.002531081438064575,0.08115975558757782,0.020215969532728195,0.032299771904945374,0.017825134098529816,0.009263095445930958,0.011129884049296379,0.001901183626614511,0.014077799394726753,0.0033378563821315765,0.010788722895085812,0.004200976341962814,0.0015186845557764173,0.005219616927206516,0.007631068117916584,0.011053632944822311,0.010239213705062866,0.0017121592536568642,0.0036503649316728115,0.002055299933999777,0.002645232481881976,0.007426791358739138,0.0059224930591881275,0.011650941334664822,0.006641758140176535,0.0010589698795229197,0.0032086658757179976,0.0007982953102327883,0.0015017269179224968,0.0015913525130599737,0.0013138868380337954
S06,0.000793612387496978,0.0007075752946548164,0.002234073355793953,0.003237552475184202,0.0006839948473498225,0.0026156208477914333,0.001359877292998135,0.0018657241016626358,0.0023661688901484013,0.00202759332023561,0.002237491775304079,0.0012473613023757935,0.010649114847183228,0.002809801371768117,0.001505729160271585,0.007374691776931286,0.010758474469184875,0.01784193143248558,0.013039227575063705,0.009050090797245502,0.0034876333083957434,0.0016046491218730807,0.007841738872230053,0.022818226367235184,1.2737139463424683,0.10563813894987106,0.0027524076867848635,0.0032048984430730343,0.03286292403936386,0.04530907794833183,0.013215296901762486,0.0053520649671554565,0.0073910001665353775,0.0038202288560569286,0.004984118510037661,0.004172177519649267,0.003911227453500032,0.06233374401926994,0.008029976859688759,0.0010236825328320265,0.003973763901740313,0.0013563012471422553,0.002189313992857933,0.0022690852638334036,0.0017374390736222267
S07,0.0012400411069393158,0.0007767295464873314,0.0023306014481931925,0.004798563662916422,0.001977656502276659,0.0035108148586004972,0.0015658355550840497,0.0010951251024380326,0.0029903594404459,0.002625309629365802,0.0008933949284255505,0.0036519633140414953,0.1532713770866394,0.004672096576541662,0.0011702985502779484,0.010312766768038273,0.008655231446027756,0.01094730943441391,0.010680259205400944,0.009158178232610226,0.004791900981217623,0.00244996789842844,0.041935861110687256,0.07960361987352371,2.6388373374938965,0.09781870245933533,0.007468190509825945,0.008901523426175117,0.17684835195541382,1.0658949613571167,0.030126700177788734,0.005541705526411533,0.032960087060928345,0.0076819900423288345,0.003960538189858198,0.002596421865746379,0.007269732654094696,0.30470964312553406,0.020678719505667686,0.0018016514368355274,0.005442511755973101,0.004273570142686367,0.0025011091493070126,0.003973507788032293,0.002929992973804474
S08,0.0013618379598483443,0.0013576089404523373,0.0026485081762075424,0.0020370748825371265,0.0014554931549355388,0.003025611164048314,0.0010452818823978305,0.0006695978809148073,0.004597880411893129,0.002112571382895112,0.001112892758101225,0.0017217224230989814,0.00938308797776699,0.0032539917156100273,0.0013482780195772648,0.007468731142580509,0.006525024306029081,0.0056068566627800465,0.006670668255537748,0.008158775046467781,0.0034778956323862076,0.002051940420642495,0.006285368464887142,0.0043789418414235115,0.12404297292232513,0.009156757965683937,0.0009142382186837494,0.0033083169255405664,0.02022683620452881,0.08377687633037567,0.004627661779522896,0.0024500135332345963,0.0035941561218351126,0.0027414809446781874,0.0025665119756013155,0.002557924250140786,0.003460232401266694,0.03942009061574936,0.0025347706396132708,0.0008294229046441615,0.0034450057428330183,0.0034045542124658823,0.0021385839208960533,0.0030794499907642603,0.001789973466657102
S09,0.002907972317188978,0.0029146249871701,0.006607831455767155,0.0041008940897881985,0.0015418282710015774,0.0063500539399683475,0.0016404027119278908,0.004002371337264776,0.0032591368071734905,0.005078955553472042,0.0027006687596440315,0.002419206080958247,0.013690116815268993,0.009469796903431416,0.002407944994047284,0.01675715297460556,0.028755851089954376,0.01543166022747755,0.03799533098936081,0.011491863057017326,0.010611595585942268,0.0029461763333529234,0.020683562383055687,0.017204787582159042,0.009026071056723595,0.024126864969730377,0.0025493870489299297,0.006584095768630505,0.007800373248755932,0.011388028040528297,0.004967625718563795,0.005313674453645945,0.00814149435609579,0.005693008657544851,0.014361239038407803,0.003994904924184084,0.010729638859629631,0.01113560888916254,0.007665927521884441,0.0029986687004566193,0.003908772021532059,0.0026805386878550053,0.0032707827631384134,0.005503369960933924,0.0031581874936819077
T00,0.0011381778167560697,0.0026633129455149174,0.0037714741192758083,0.00142869062256068,0.0015971234533935785,0.001273253932595253,0.0016051005804911256,0.002771461848169565,0.0017985720187425613,0.001982420217245817,0.0012143111089244485,0.0018784826388582587,0.009717125445604324,0.005089950747787952,0.0018022212898358703,0.003273711074143648,0.004808817524462938,0.007243271451443434,0.005358368624001741,0.004763473756611347,0.007024918682873249,0.06966602057218552,0.003722174558788538,0.0077133504673838615,0.003512292867526412,0.003361433045938611,0.0014822852099314332,0.0009654853492975235,0.007536035031080246,0.009336153045296669,0.002630428411066532,0.0014498733216896653,0.003965628799051046,0.009598908945918083,0.005262742284685373,0.0019520913483574986,0.0020427254494279623,0.00446883263066411,0.0020290270913392305,0.0021790233440697193,0.0034301660489290953,0.0013172717299312353,0.004493681248277426,0.003192100441083312,0.0015892945230007172
T01,0.003658433211967349,0.0016694568330422044,0.0025336528196930885,0.0026345164515078068,0.0013454152503982186,0.003404105082154274,0.001216495642438531,0.0009553148411214352,0.0012208502739667892,0.002282568020746112,0.002044039312750101,0.002063971944153309,0.008306696079671383,0.002087363274767995,0.0009079563897103071,0.006970076356083155,0.004509249702095985,0.006464326288551092,0.005308688152581453,0.00475152675062418,0.005244151223450899,0.006998683791607618,0.006205611862242222,0.002667144639417529,0.0030792327597737312,0.008903779089450836,0.0010228650644421577,0.0022386100608855486,0.003166250418871641,0.00446054432541132,0.0023483203258365393,0.002514776075258851,0.0037520185578614473,0.0024199022445827723,0.0026890765875577927,0.0026653138920664787,0.0016792899696156383,0.002713833935558796,0.001925325021147728,0.0008264444768428802,0.002722581150010228,0.0016849507810547948,0.002333691343665123,0.011932005174458027,0.0023523513227701187
T02,0.0018217704491689801,0.0006730849854648113,0.0025958861224353313,0.001472356030717492,0.0012510620290413499,0.0027371130418032408,0.0015812285710126162,0.0010820857714861631,0.003342545358464122,0.001653152285143733,0.0011595183750614524,0.001982559449970722,0.004082901868969202,0.0025099182967096567,0.0010012089041993022,0.0073170289397239685,0.004829286597669125,0.0038116166833788157,0.005063607823103666,0.005697960499674082,0.0036232322454452515,0.003656876739114523,0.004449685104191303,0.002286284463480115,0.002337720710784197,0.00575656583532691,0.0013440311886370182,0.0026832176372408867,0.003335685469210148,0.002487342106178403,0.002509983954951167,0.002808748045936227,0.0026186404284089804,0.007353680208325386,0.002251551253721118,0.0026144797448068857,0.0020613642409443855,0.002953289309516549,0.0014680922031402588,0.0010262737050652504,0.002787235425785184,0.0015408447943627834,0.010788274928927422,0.0018612300045788288,0.0016415040008723736
