source,C00,C01,C02,C03,C04,C05,C06,C07,C08,C09,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43,C44
S00,0.0041856658644974,0.0203331802040338,0.1284611076116562,0.0066080405376851,0.0034282086417078,0.0179526004940271,0.0209102258086204,0.0357581824064254,0.0088032763451337,0.0317947790026664,0.0155836148187518,0.0084763010963797,0.0206003189086914,0.0251735746860504,0.0169353019446134,0.4281599521636963,0.0555350519716739,0.0868348777294159,0.1117004081606864,0.1784349530935287,0.0899424105882644,0.0749137848615646,0.0512161664664745,0.0293166916817426,0.0591880120337009,0.0302057098597288,0.0119384145364165,0.0403047427535057,0.0280460007488727,0.0173505954444408,0.0162072051316499,0.00689109088853,0.0176920611411333,0.0551105812191963,0.0102064739912748,0.0400610975921154,0.0187487639486789,0.027613490819931,0.0094197737053036,0.005709889344871,0.0118476934731006,0.0052153393626213,0.0055524329654872,0.0047588199377059,0.004460962023586
S01,0.0009775903308764,0.0189884975552558,0.0072310687974095,0.0021585179492831,0.0018496722914278,0.002098279306665,0.0016783796017989,0.0010763993486762,0.0035759515594691,0.0018725942354649,0.0012427516048774,0.0016720833955332,0.0071857785806059,0.0043165725655853,0.0013318796409294,0.0119138341397047,0.0102295419201254,0.0388390943408012,0.0138777010142803,0.0051887603476643,0.0067459247075021,0.003585674567148,0.0039683207869529,0.0041681020520627,0.0087394211441278,0.0030829107854515,0.0016970803262665,0.0013241129927337,0.0065755425021052,0.009993901476264,0.0128810750320553,0.0013419999741017,0.0028745790477842,0.0020946348085999,0.0026409111451357,0.0034841655287891,0.0080327149480581,0.0054548955522477,0.0065931938588619,0.00109177979175,0.0038005148526281,0.000966016203165,0.0011571630602702,0.003983967937529,0.0013215645449236
S02,0.0049682739190757,0.0038242756854742,0.0053817317821085,0.0050876210443675,0.002690227003768,0.006931509822607,0.0045754271559417,0.0116574103012681,0.0015392272034659,0.0097719701007008,0.0041813789866864,0.0040883193723857,0.0078779933974146,0.0075467061251401,0.0065469653345644,0.0123504037037491,0.0183328669518232,0.0122223896905779,0.0210305210202932,0.012619593180716,0.0216195434331893,0.0290480963885784,0.0078345593065023,0.0094140926375985,0.0105225723236799,0.0082351379096508,0.0042762062512338,0.0018544321646913,0.0133711621165275,0.0078425202518701,0.0036793595645576,0.0042809071019291,0.0064139873720705,0.0044419942423701,0.0078794918954372,0.0041866903193295,0.0041679861024022,0.0151356374844908,0.0049214013852179,0.0027683738153427,0.0061445455066859,0.0030314323958009,0.0047919661737978,0.0060150222852826,0.0032748174853622
S03,0.0608086697757244,0.011295017786324,0.0188108310103416,0.0056939381174743,0.0034297865349799,0.0049981926567852,0.0049117915332317,0.0106709226965904,0.0022621846292167,0.121518462896347,0.0144939646124839,0.0031548971310257,0.0079503646120429,0.0055139292962849,0.0032442295923829,0.0087989773601293,0.0084839398041367,0.0135411396622657,0.0068772048689424,0.0058406018652021,0.0054858257062733,0.0042404690757393,0.0049410481005907,0.0058182938955724,0.0130604598671197,0.0035331875551491,0.0016849073581397,0.0021242662332952,0.0031769189517945,0.0037258076481521,0.0022547235712409,0.0028565321117639,0.0062129558064043,0.0029372349381446,0.0015333592891693,0.0077848588116467,0.0022216541692614,0.0031174914911389,0.0035616443492472,0.0021733124740421,0.0050024599768221,0.0013030666159465,0.003091488033533,0.0565887689590454,0.0039666760712862
S04,0.0004940077778883,0.0011747364187613,0.003411067649722,0.0025246166624128,0.0007526713889092,0.0022756259422749,0.0008889682940207,0.0019769412465393,0.0027258791960775,0.0018720354419201,0.001111642923206,0.0014118627877905,0.0063237878493964,0.0017080709803849,0.0016081981593742,0.004795896820724,0.0031056751031428,0.006872724276036,0.0041606347076594,0.0037267687730491,0.0027671572752296,0.0015513919061049,0.0028975210152566,0.0067159151658415,0.0045345858670771,0.0031192312017083,0.0014609936624765,0.0015187173848971,0.0077472957782447,0.0139776114374399,0.002793455729261,0.0012434897944331,0.0027158395387232,0.0018322204705327,0.0024457133840769,0.0014608837664127,0.0020099377725273,0.0040746773593127,0.0019172963220626,0.0007232052157633,0.0019568817224353,0.0013083983212709,0.00079444097355,0.0017426129197701,0.001268366118893
S05,0.002062531420961,0.0097155347466468,0.013899004086852,0.0081807188689708,0.0027241550851613,0.0020239907316863,0.0020120572298765,0.0019602512475103,0.0039614746347069,0.0029651822987943,0.001980998320505,0.0051758619956672,0.0070122615434229,0.003429249394685,0.0025310814380645,0.0811597555875778,0.0202159695327281,0.0322997719049453,0.0178251340985298,0.0092630954459309,0.0111298840492963,0.0019011836266145,0.0140777993947267,0.0033378563821315,0.0107887228950858,0.0042009763419628,0.0015186845557764,0.0052196169272065,0.0076310681179165,0.0110536329448223,0.0102392137050628,0.0017121592536568,0.0036503649316728,0.0020552999339997,0.0026452324818819,0.0074267913587391,0.0059224930591881,0.0116509413346648,0.0066417581401765,0.0010589698795229,0.0032086658757179,0.0007982953102327,0.0015017269179224,0.0015913525130599,0.0013138868380337
S06,0.0007936123874969,0.0007075752946548,0.0022340733557939,0.0032375524751842,0.0006839948473498,0.0026156208477914,0.0013598772929981,0.0018657241016626,0.0023661688901484,0.0020275933202356,0.002237491775304,0.0012473613023757,0.0106491148471832,0.0028098013717681,0.0015057291602715,0.0073746917769312,0.0107584744691848,0.0178419314324855,0.0130392275750637,0.0090500907972455,0.0034876333083957,0.001604649121873,0.00784173887223,0.0228182263672351,1.2737139463424685,0.105638138949871,0.0027524076867848,0.003204898443073,0.0328629240393638,0.0453090779483318,0.0132152969017624,0.0053520649671554,0.0073910001665353,0.0038202288560569,0.0049841185100376,0.0041721775196492,0.0039112274535,0.0623337440192699,0.0080299768596887,0.001023682532832,0.0039737639017403,0.0013563012471422,0.0021893139928579,0.0022690852638334,0.0017374390736222
S07,0.0012400411069393,0.0007767295464873,0.0023306014481931,0.0047985636629164,0.0019776565022766,0.0035108148586004,0.001565835555084,0.001095125102438,0.0029903594404459,0.0026253096293658,0.0008933949284255,0.0036519633140414,0.1532713770866394,0.0046720965765416,0.0011702985502779,0.0103127667680382,0.0086552314460277,0.0109473094344139,0.0106802592054009,0.0091581782326102,0.0047919009812176,0.0024499678984284,0.0419358611106872,0.0796036198735237,2.6388373374938965,0.0978187024593353,0.0074681905098259,0.0089015234261751,0.1768483519554138,1.0658949613571167,0.0301267001777887,0.0055417055264115,0.0329600870609283,0.0076819900423288,0.0039605381898581,0.0025964218657463,0.0072697326540946,0.304709643125534,0.0206787195056676,0.0018016514368355,0.0054425117559731,0.0042735701426863,0.002501109149307,0.0039735077880322,0.0029299929738044
S08,0.0013618379598483,0.0013576089404523,0.0026485081762075,0.0020370748825371,0.0014554931549355,0.0030256111640483,0.0010452818823978,0.0006695978809148,0.0045978804118931,0.0021125713828951,0.0011128927581012,0.0017217224230989,0.0093830879777669,0.00325399171561,0.0013482780195772,0.0074687311425805,0.006525024306029,0.00560685666278,0.0066706682555377,0.0081587750464677,0.0034778956323862,0.0020519404206424,0.0062853684648871,0.0043789418414235,0.1240429729223251,0.0091567579656839,0.0009142382186837,0.0033083169255405,0.0202268362045288,0.0837768763303756,0.0046276617795228,0.0024500135332345,0.0035941561218351,0.0027414809446781,0.0025665119756013,0.0025579242501407,0.0034602324012666,0.0394200906157493,0.0025347706396132,0.0008294229046441,0.003445005742833,0.0034045542124658,0.002138583920896,0.0030794499907642,0.0017899734666571
S09,0.0029079723171889,0.0029146249871701,0.0066078314557671,0.0041008940897881,0.0015418282710015,0.0063500539399683,0.0016404027119278,0.0040023713372647,0.0032591368071734,0.005078955553472,0.002700668759644,0.0024192060809582,0.0136901168152689,0.0094697969034314,0.0024079449940472,0.0167571529746055,0.0287558510899543,0.0154316602274775,0.0379953309893608,0.0114918630570173,0.0106115955859422,0.0029461763333529,0.0206835623830556,0.017204787582159,0.0090260710567235,0.0241268649697303,0.0025493870489299,0.0065840957686305,0.0078003732487559,0.0113880280405282,0.0049676257185637,0.0053136744536459,0.0081414943560957,0.0056930086575448,0.0143612390384078,0.003994904924184,0.0107296388596296,0.0111356088891625,0.0076659275218844,0.0029986687004566,0.003908772021532,0.002680538687855,0.0032707827631384,0.0055033699609339,0.0031581874936819
